//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 10100000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
10100000;1;01/01/1995;;1;1;43011,79;33644,03;38830,29;4;21;1;1;1;;0;42611,27;42829,61;42975,33;43011,79;43011,79;42866,03;42756,8;42574,91;42284,3;41885,56;41235,2;40623,41;39585,28;38695,98;37530,19;36758,18;35746,93;34950,15;34364,23;33952,2;33644,03;33849,4;34020,79;34639,64;35764,3;36688,2;37424,67;38270,98;38979,98;39763,77;40443,93;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
10100000;1;01/02/1995;;1;1;42139,19;32452,56;37430,97;6;28;1;1;1;;0;41055,02;41596,18;41921,77;41957,98;41994,21;42139,19;41957,98;41740,81;41271,26;40695,26;39799,5;39282,33;38695,98;38023,64;37213,86;36653,23;35746,93;34846,56;34398,63;34226,75;33815,14;33132,03;32927,81;32825,82;32588,16;32588,16;32520,34;32452,56;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
10100000;1;01/03/1995;;1;1;46101,99;32317,1;41138,9;25;2;1;1;1;;0;32384,81;32317,1;32723,91;33132,03;33541,46;34192,4;34846,56;35538,63;36653,23;37741,46;38589,62;39549,61;40911,02;41849,36;42829,61;43559,51;44329,33;44623,52;44881,35;45213,41;45620,11;45805,3;45879,42;46027,77;46101,99;46101,99;46101,99;46101,99;46101,99;46027,77;46027,77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
10100000;1;01/04/1995;;1;1;46995,05;46027,77;46537,04;13;1;1;1;1;;0;46027,77;46101,99;46473,56;46585,18;46622,4;46734,11;46808,63;46845,9;46845,9;46845,9;46845,9;46920,46;46995,05;46920,46;46920,46;46845,9;46734,11;46585,18;46473,56;46324,84;46324,84;46213,38;46176,24;46176,24;46139,11;46250,52;46362;46399,18;46324,84;46287,68;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
10100000;1;01/05/1995;;1;1;46101,99;41271,26;43711,65;1;17;1;1;1;;0;46101,99;46027,77;45953,58;45768,25;45546,1;45324,23;44918,21;44660,33;44366,08;43925,65;43559,51;43230,66;43011,79;42611,27;41885,56;41451,7;41271,26;41307,33;41885,56;42211,73;42538,55;42938,89;43194,16;43340,2;43559,51;43779,1;43962,31;44035,65;44145,72;44255,87;44292,59;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
10100000;1;01/06/1995;;1;1;44439,59;31776,76;39324,16;4;29;1;1;1;;0;44366,08;44402,83;44402,83;44439,59;44439,59;44329,33;44035,65;43742,48;43303,68;42902,46;42465,87;42102,93;41704,64;41127,07;40587,5;39942,47;39442,64;38695,98;37741,46;37143,66;36653,23;35990,35;35122,96;34501,86;33969,34;33387,78;32808,83;32283,26;31776,76;31911,63;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
10100000;1;01/07/1995;;1;1;33370,71;26026,37;30509,46;7;28;1;1;1;;0;32012,87;31709,39;31642,05;32825,82;33097,97;33268,37;33370,71;33336,59;33336,59;33132,03;32995,84;32927,81;32825,82;32723,91;32452,56;31726,23;31272,35;30553,03;30070,38;29507,06;28962,97;28749,36;28192,62;27736,27;27120,04;26539,58;26154,43;26026,37;26652,19;27265,66;27606,24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
10100000;1;01/08/1995;;1;1;27703,75;14629,89;19211,68;1;31;1;1;1;;0;27703,75;27217,1;26748,82;26250,58;25277,34;24392,36;23718,42;22801,77;22108,99;21285,04;20770,46;20094,47;19453,99;18701,4;18437,63;17884,01;17349,2;16990,24;16505,2;16136,77;15756,47;15294,87;15044,61;14892,2;14809,23;14809,23;15100,13;15280,94;15141,81;14975,28;14629,89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
10100000;1;01/09/1995;;1;1;17608,85;13417,58;15289,82;30;8;1;1;1;;0;14396,23;14259,24;14149,89;14013,52;13823,17;13633,5;13498,44;13417,58;13606,46;13768,91;13959,07;14781,6;15280,94;15336,69;15141,81;15058,48;15141,81;15169,61;15336,69;15700,33;15728,39;15897,04;16462,58;16747,26;17033,21;17176,65;17464,47;17522,19;17579,95;17608,85;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
10100000;1;01/10/1995;;1;1;25452,14;16320,71;18887,84;31;18;1;1;1;;0;17681,15;17768,02;17869,5;17695,62;17579,95;17291,63;16832,91;16975,92;16832,91;17464,47;17884,01;18306,12;18393,77;18160,27;17956,6;17377,99;16904,38;16320,71;16434,18;16718,74;17061,87;17377,99;17869,5;19143,17;20664,93;21986,41;23282,23;24219,49;24723,27;25293,22;25452,14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
